ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10232498,HY420244,09/11/2015 11:00:00 PM,055XX N KENMORE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2023,020,48,77,07,1168247,1937041,2015,09/24/2015 07:50:13 PM,41.982777739,-87.656591889,"(41.982777739, -87.656591889)"
10232499,HY420341,09/12/2015 04:43:00 AM,006XX N TROY ST,0810,THEFT,OVER $500,ALLEY,false,false,1221,012,27,23,06,1155263,1904062,2015,02/10/2018 03:50:01 PM,41.892552538,-87.705232851,"(41.892552538, -87.705232851)"
10232500,HY420303,09/12/2015 10:25:00 AM,036XX W DICKENS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,true,2525,025,26,22,14,1151768,1913711,2015,02/10/2018 03:50:01 PM,41.919099798,-87.717814366,"(41.919099798, -87.717814366)"
10232501,HY419055,09/11/2015 10:50:00 AM,064XX S DR MARTIN LUTHER KING JR DR,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,0312,003,20,69,14,1180029,1862330,2015,02/10/2018 03:50:01 PM,41.777503445,-87.615558861,"(41.777503445, -87.615558861)"
10232502,HY420191,09/12/2015 08:40:00 AM,003XX E 69TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0322,003,6,69,08B,1179436,1859003,2015,02/10/2018 03:50:01 PM,41.768387377,-87.617834254,"(41.768387377, -87.617834254)"
10232503,HY420228,09/12/2015 07:30:00 AM,028XX W CHICAGO AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,false,false,1221,012,26,23,03,1157002,1905200,2015,02/10/2018 03:50:01 PM,41.895640203,-87.69881528,"(41.895640203, -87.69881528)"
10232504,HY420255,09/12/2015 08:15:00 AM,061XX S WOODLAWN AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0314,003,20,42,06,1185269,1864630,2015,02/10/2018 03:50:01 PM,41.783693218,-87.596276958,"(41.783693218, -87.596276958)"
10232505,HY420305,09/12/2015 10:03:00 AM,071XX S VERNON AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE PORCH/HALLWAY,false,true,0323,003,6,69,26,1180479,1857857,2015,02/10/2018 03:50:01 PM,41.765218761,-87.614046316,"(41.765218761, -87.614046316)"
11231208,JB151691,12/30/2017 01:11:00 PM,008XX N CICERO AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,false,false,1111,011,37,25,11,,,2017,02/15/2018 03:50:23 PM,,,
10232506,HY420240,09/12/2015 08:45:00 AM,041XX W WILCOX ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1115,011,28,26,18,1148807,1899014,2015,02/10/2018 03:50:01 PM,41.878827508,-87.729073843,"(41.878827508, -87.729073843)"
10232507,HY420283,09/12/2015 10:10:00 AM,131XX S LANGLEY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,true,true,0533,005,9,54,08B,1183245,1818336,2015,02/10/2018 03:50:01 PM,41.6567043,-87.605133231,"(41.6567043, -87.605133231)"
10232508,HY420288,09/12/2015 09:45:00 AM,028XX W DEVON AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,false,true,2413,024,50,2,04A,1155924,1942321,2015,02/10/2018 03:50:01 PM,41.997524529,-87.701769953,"(41.997524529, -87.701769953)"
11860165,JC471971,10/13/2019 03:24:00 PM,055XX N BROADWAY,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE,false,false,2023,020,48,77,14,1167312,1936897,2019,10/20/2019 04:03:03 PM,41.982402819,-87.660034754,"(41.982402819, -87.660034754)"
10232509,HY420318,09/12/2015 10:51:00 AM,076XX S KINGSTON AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,false,false,0421,004,7,43,04B,1194519,1854817,2015,02/10/2018 03:50:01 PM,41.756543074,-87.562686166,"(41.756543074, -87.562686166)"
10232510,HY420159,09/11/2015 08:50:00 PM,020XX E 95TH ST,0620,BURGLARY,UNLAWFUL ENTRY,SMALL RETAIL STORE,false,false,0431,004,7,51,05,1191324,1842374,2015,02/10/2018 03:50:01 PM,41.722476277,-87.574796951,"(41.722476277, -87.574796951)"
10232512,HY420332,09/12/2015 10:00:00 AM,100XX S AVENUE M,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,false,false,0432,004,10,52,26,1201484,1839069,2015,02/10/2018 03:50:01 PM,41.713155412,-87.537694927,"(41.713155412, -87.537694927)"
10232513,HY420357,09/10/2015 11:00:00 AM,047XX S INGLESIDE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0222,002,4,39,14,1183417,1873687,2015,02/10/2018 03:50:01 PM,41.808589737,-87.602784771,"(41.808589737, -87.602784771)"
10232514,HY420269,09/12/2015 09:50:00 AM,056XX S WOOD ST,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,APARTMENT,false,true,0715,007,15,67,04B,1165311,1867310,2015,02/10/2018 03:50:01 PM,41.791493635,-87.669374095,"(41.791493635, -87.669374095)"
10232515,HY420364,09/11/2015 07:00:00 AM,008XX W NEWPORT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,OTHER,false,false,1924,019,44,6,14,1169959,1923109,2015,02/10/2018 03:50:01 PM,41.944510616,-87.650703788,"(41.944510616, -87.650703788)"
10232516,HY420248,09/12/2015 03:45:00 AM,070XX S RACINE AVE,0460,BATTERY,SIMPLE,STREET,false,false,0734,007,17,67,08B,1169537,1858097,2015,02/10/2018 03:50:01 PM,41.766121441,-87.654145011,"(41.766121441, -87.654145011)"
10232517,HY420224,09/11/2015 11:00:00 AM,010XX W MADISON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,false,false,1232,012,2,28,14,1169320,1900208,2015,02/10/2018 03:50:01 PM,41.881682922,-87.65371945,"(41.881682922, -87.65371945)"
10232518,HY420387,09/09/2015 10:00:00 PM,021XX S MICHIGAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0131,001,2,33,14,1177540,1890161,2015,02/10/2018 03:50:01 PM,41.853930752,-87.623841071,"(41.853930752, -87.623841071)"
10232519,HY418398,09/10/2015 06:06:00 PM,020XX W ARTHUR AVE,4386,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,APARTMENT,false,false,2412,024,50,2,26,1161570,1943154,2015,02/10/2018 03:50:01 PM,41.999694157,-87.680977084,"(41.999694157, -87.680977084)"
