Rec	Cyc	Step	TestTime	StepTime	Amphr	Watthr	Amps	Volts	State	ACImpOhms
138	1	5	0d 02:15:0.00999999977648258	0d 02:14:0.00999999977648258	0.00112	0.00460	0.00050	4.08972	D	2.26676
139	1	5	0d 02:16:0.00999999977648258	0d 02:15:0.00999999977648258	0.00113	0.00463	0.00050	4.08942	D	2.26676
140	1	5	0d 02:17:0.00999999977648258	0d 02:16:0.00999999977648258	0.00113	0.00466	0.00050	4.08911	D	2.26676
141	1	5	0d 02:18:0.00999999977648258	0d 02:17:0.00999999977648258	0.00114	0.00470	0.00050	4.08873	D	2.26676
142	1	5	0d 02:19:0.00999999977648258	0d 02:18:0.00999999977648258	0.00115	0.00473	0.00050	4.08827	D	2.26676
143	1	5	0d 02:20:0.00999999977648258	0d 02:19:0.00999999977648258	0.00116	0.00477	0.00050	4.08789	D	2.26676
144	1	5	0d 02:21:0.00999999977648258	0d 02:20:0.00999999977648258	0.00117	0.00480	0.00050	4.08751	D	2.26676
145	1	5	0d 02:22:0.00999999977648258	0d 02:21:0.00999999977648258	0.00118	0.00483	0.00050	4.08713	D	2.26676
146	1	5	0d 02:23:0.00999999977648258	0d 02:22:0.00999999977648258	0.00118	0.00487	0.00050	4.08682	D	2.26676
147	1	5	0d 02:24:0.00999999977648258	0d 02:23:0.00999999977648258	0.00119	0.00490	0.00050	4.08644	D	2.26676
148	1	5	0d 02:25:0.00999999977648258	0d 02:24:0.00999999977648258	0.00120	0.00494	0.00050	4.08614	D	2.26676
149	1	5	0d 02:26:0.00999999977648258	0d 02:25:0.00999999977648258	0.00121	0.00497	0.00050	4.08568	D	2.26676
150	1	5	0d 02:27:0.00999999977648258	0d 02:26:0.00999999977648258	0.00122	0.00500	0.00050	4.08537	D	2.26676
151	1	5	0d 02:28:0.00999999977648258	0d 02:27:0.00999999977648258	0.00123	0.00504	0.00050	4.08499	D	2.26676
152	1	5	0d 02:29:0.00999999977648258	0d 02:28:0.00999999977648258	0.00123	0.00507	0.00050	4.08469	D	2.26676
153	1	5	0d 02:30:0.00999999977648258	0d 02:29:0.00999999977648258	0.00124	0.00511	0.00050	4.08431	D	2.26676
154	1	5	0d 02:31:0.00999999977648258	0d 02:30:0.00999999977648258	0.00125	0.00514	0.00050	4.08400	D	2.26676
155	1	5	0d 02:32:0.00999999977648258	0d 02:31:0.00999999977648258	0.00126	0.00517	0.00050	4.08362	D	2.26676
156	1	5	0d 02:33:0.00999999977648258	0d 02:32:0.00999999977648258	0.00127	0.00521	0.00050	4.08316	D	2.26676
157	1	5	0d 02:34:0.00999999977648258	0d 02:33:0.00999999977648258	0.00128	0.00524	0.00050	4.08309	D	2.26676
158	1	5	0d 02:35:0.00999999977648258	0d 02:34:0.00999999977648258	0.00128	0.00528	0.00050	4.08255	D	2.26676
159	1	5	0d 02:36:0.00999999977648258	0d 02:35:0.00999999977648258	0.00129	0.00531	0.00050	4.08217	D	2.26676
160	1	5	0d 02:37:0.00999999977648258	0d 02:36:0.00999999977648258	0.00130	0.00534	0.00050	4.08179	D	2.26676
